,title,budget,revenue,runtime,movie_id,genre
0,Duck the Halls: A Mickey Mouse Christmas Special,0,0,22,845322,"TV Movie,Animation,Adventure,"
1,Ernest Saves Christmas,6000000,28202109,95,26386,"Comedy,Family,"
2,Ice Age: A Mammoth Christmas,0,0,26,79218,"Animation,Family,TV Movie,"
3,The Queen Family Singalong,0,0,41,903296,"Music,"
4,Becoming Cousteau,0,244223,94,774823,"Documentary,"
5,A Muppets Christmas: Letters To Santa,5000000,0,55,27190,"Family,Adventure,Comedy,"
6,Adventure Thru the Walt Disney Archives,0,0,60,719917,"Documentary,"
7,Puppy for Hanukkah,0,0,0,969605,
8,The Pixar Story,0,0,87,15302,"Documentary,"
9,America the Beautiful,0,0,105,32630,"Documentary,"
10,Baymax!,0,0,42,779451,"Animation,Action,TV Movie,"
11,Ciao Alberto,45223,0,7,876716,"Animation,Comedy,Family,Fantasy,"
12,Enchanted,85000000,340487652,107,4523,"Comedy,Family,Fantasy,Romance,"
13,Feast,3200000,658573,95,10070,"Action,Horror,Thriller,Comedy,"
14,Frozen Fever,0,0,8,326359,"Animation,Family,Adventure,Comedy,"
15,Get a Horse!,0,0,6,234567,"Animation,Family,Comedy,"
16,Home Sweet Home Alone,0,0,93,654974,"Family,Comedy,Action,"
17,Jungle Cruise,200000000,220889446,127,451048,"Action,Adventure,Fantasy,"
18,Limitless with Chris Hemsworth,,,,,
19,Marvel Studios’ 2021 Disney+ Day Special,0,0,14,877188,"Documentary,"
20,Obi-Wan Kenobi,0,0,60,1015606,"Documentary,"
21,Paperman,0,0,7,140420,"Animation,Family,Romance,"
22,Pixar 2021 Disney+ Day Special,0,0,4,897298,"Documentary,"
23,Shang-Chi and The Legend of The Ten Rings,150000000,432243292,132,566525,"Action,Adventure,Fantasy,"
24,Spin,0,0,93,734858,"TV Movie,Family,Drama,Music,"
25,Tangled Ever After,0,0,6,82881,"Animation,Comedy,Action,Family,"
26,The Ballad of Nessie,0,0,6,76346,"Animation,Family,Fantasy,"
27,The Little Matchgirl,0,0,7,38580,"Animation,Drama,"
28,The Making of Happier Than Ever: A Love Letter to Los Angeles,0,0,30,896834,"Documentary,Music,"
29,The Proud Family: Louder and Prouder,,,,,
30,The Simpsons in Plusaversary,0,0,4,877183,"Animation,Comedy,Fantasy,"
31,Tick Tock Tale,0,0,7,352812,"Animation,"
32,Under the Helmet: The Legacy of Boba Fett,0,0,21,877181,"Documentary,"
33,Willow,35000000,57269863,126,847,"Action,Adventure,Fantasy,"
34,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,87,55301,"Comedy,Fantasy,Family,Music,Animation,"
35,Jingle All The Way,60000000,129832389,89,9279,"Family,Comedy,Adventure,"
36,Jingle All the Way 2,10000000,0,93,289728,"Family,Comedy,"
37,Prep & Landing: Operation Secret Santa,0,0,22,26809,"Animation,Fantasy,Family,"
38,Santa Buddies: The Legend of Santa Paws,0,0,88,24833,"Family,Adventure,"
